subject,grade,scale,jurisdiction,year,ses_variable_code,ses_variable,ses_level_code,ses_level,statistic_code,statistic_family,statistic,unit,percentile,achievement_level,score_interval_low,score_interval_high,estimate,standard_error,cell_n,stat_cv,is_displayable,error_labels,source_url
Mathematics,8,Composite mathematics scale (0-500),California,2019,TOTAL,All students,1,All students,DP:D1,score distribution,Percent with scale score 0-9,percent,,,0.0,9.0,0.0,0.0,5915.0,2.53917432946409,1,,https://www.nationsreportcard.gov/DataService/GetAdhocData.aspx?type=data&subject=mathematics&grade=8&subscale=MRPCM&variable=TOTAL&jurisdiction=CA&stattype=DP%3ADP&Year=2019%2C2022%2C2024&ShowDetails=true&QCData=true&RevealDataKeys=true
Mathematics,8,Composite mathematics scale (0-500),California,2019,TOTAL,All students,1,All students,DP:D2,score distribution,Percent with scale score 10-19,percent,,,10.0,19.0,0.0,0.0,5915.0,2.53917432946409,1,,https://www.nationsreportcard.gov/DataService/GetAdhocData.aspx?type=data&subject=mathematics&grade=8&subscale=MRPCM&variable=TOTAL&jurisdiction=CA&stattype=DP%3ADP&Year=2019%2C2022%2C2024&ShowDetails=true&QCData=true&RevealDataKeys=true
Mathematics,8,Composite mathematics scale (0-500),California,2019,TOTAL,All students,1,All students,DP:D3,score distribution,Percent with scale score 20-29,percent,,,20.0,29.0,0.0,0.0,5915.0,2.53917432946409,1,,https://www.nationsreportcard.gov/DataService/GetAdhocData.aspx?type=data&subject=mathematics&grade=8&subscale=MRPCM&variable=TOTAL&jurisdiction=CA&stattype=DP%3ADP&Year=2019%2C2022%2C2024&ShowDetails=true&QCData=true&RevealDataKeys=true
Mathematics,8,Composite mathematics scale (0-500),California,2019,TOTAL,All students,1,All students,DP:D4,score distribution,Percent with scale score 30-39,percent,,,30.0,39.0,0.0,0.0,5915.0,2.53917432946409,1,,https://www.nationsreportcard.gov/DataService/GetAdhocData.aspx?type=data&subject=mathematics&grade=8&subscale=MRPCM&variable=TOTAL&jurisdiction=CA&stattype=DP%3ADP&Year=2019%2C2022%2C2024&ShowDetails=true&QCData=true&RevealDataKeys=true
Mathematics,8,Composite mathematics scale (0-500),California,2019,TOTAL,All students,1,All students,DP:D5,score distribution,Percent with scale score 40-49,percent,,,40.0,49.0,0.0,0.0,5915.0,2.53917432946409,1,,https://www.nationsreportcard.gov/DataService/GetAdhocData.aspx?type=data&subject=mathematics&grade=8&subscale=MRPCM&variable=TOTAL&jurisdiction=CA&stattype=DP%3ADP&Year=2019%2C2022%2C2024&ShowDetails=true&QCData=true&RevealDataKeys=true
Mathematics,8,Composite mathematics scale (0-500),California,2019,TOTAL,All students,1,All students,DP:D6,score distribution,Percent with scale score 50-59,percent,,,50.0,59.0,0.0,0.0,5915.0,2.53917432946409,1,,https://www.nationsreportcard.gov/DataService/GetAdhocData.aspx?type=data&subject=mathematics&grade=8&subscale=MRPCM&variable=TOTAL&jurisdiction=CA&stattype=DP%3ADP&Year=2019%2C2022%2C2024&ShowDetails=true&QCData=true&RevealDataKeys=true
Mathematics,8,Composite mathematics scale (0-500),California,2019,TOTAL,All students,1,All students,DP:D7,score distribution,Percent with scale score 60-69,percent,,,60.0,69.0,0.0,0.0,5915.0,2.53917432946409,1,,https://www.nationsreportcard.gov/DataService/GetAdhocData.aspx?type=data&subject=mathematics&grade=8&subscale=MRPCM&variable=TOTAL&jurisdiction=CA&stattype=DP%3ADP&Year=2019%2C2022%2C2024&ShowDetails=true&QCData=true&RevealDataKeys=true
Mathematics,8,Composite mathematics scale (0-500),California,2019,TOTAL,All students,1,All students,DP:D8,score distribution,Percent with scale score 70-79,percent,,,70.0,79.0,0.0,0.0,5915.0,2.53917432946409,1,,https://www.nationsreportcard.gov/DataService/GetAdhocData.aspx?type=data&subject=mathematics&grade=8&subscale=MRPCM&variable=TOTAL&jurisdiction=CA&stattype=DP%3ADP&Year=2019%2C2022%2C2024&ShowDetails=true&QCData=true&RevealDataKeys=true
Mathematics,8,Composite mathematics scale (0-500),California,2019,TOTAL,All students,1,All students,DP:D9,score distribution,Percent with scale score 80-89,percent,,,80.0,89.0,0.0,0.0,5915.0,2.53917432946409,1,,https://www.nationsreportcard.gov/DataService/GetAdhocData.aspx?type=data&subject=mathematics&grade=8&subscale=MRPCM&variable=TOTAL&jurisdiction=CA&stattype=DP%3ADP&Year=2019%2C2022%2C2024&ShowDetails=true&QCData=true&RevealDataKeys=true
Mathematics,8,Composite mathematics scale (0-500),California,2019,TOTAL,All students,1,All students,DP:D10,score distribution,Percent with scale score 90-99,percent,,,90.0,99.0,0.0,0.0,5915.0,2.53917432946409,1,,https://www.nationsreportcard.gov/DataService/GetAdhocData.aspx?type=data&subject=mathematics&grade=8&subscale=MRPCM&variable=TOTAL&jurisdiction=CA&stattype=DP%3ADP&Year=2019%2C2022%2C2024&ShowDetails=true&QCData=true&RevealDataKeys=true
