test,comparison,year,level,share_disadvantaged_pct,share_not_disadvantaged_pct,odds_disadvantaged,odds_not_disadvantaged,odds_ratio_not_over_disadvantaged
CAASPP grade 11 mathematics,all California students,2015,standard exceeded (level 4),5.0,19.0,0.0526,0.2346,4.4601
CAASPP grade 11 mathematics,all California students,2015,standard met or exceeded (levels 3-4),19.0,43.0,0.2346,0.7544,3.2157
CAASPP grade 11 mathematics,all California students,2015,"standard met, not exceeded (level 3)",14.0,24.0,0.1628,0.3158,1.9398
CAASPP grade 11 mathematics,all California students,2015,standard nearly met (level 2),25.0,25.0,0.3333,0.3333,1.0
CAASPP grade 11 mathematics,all California students,2015,standard not met (level 1),56.0,32.0,1.2727,0.4706,0.3698
CAASPP grade 11 mathematics,all California students,2016,standard exceeded (level 4),6.0,22.0,0.0638,0.2821,4.4216
CAASPP grade 11 mathematics,all California students,2016,standard met or exceeded (levels 3-4),21.0,48.0,0.2658,0.9231,3.4729
CAASPP grade 11 mathematics,all California students,2016,"standard met, not exceeded (level 3)",15.0,26.0,0.1765,0.3514,1.9909
CAASPP grade 11 mathematics,all California students,2016,standard nearly met (level 2),25.0,24.0,0.3333,0.3158,0.9475
CAASPP grade 11 mathematics,all California students,2016,standard not met (level 1),54.0,28.0,1.1739,0.3889,0.3313
CAASPP grade 11 mathematics,all California students,2017,standard exceeded (level 4),5.86,21.91,0.0622,0.2806,4.5113
CAASPP grade 11 mathematics,all California students,2017,standard met or exceeded (levels 3-4),20.46,46.99,0.2572,0.8864,3.4463
CAASPP grade 11 mathematics,all California students,2017,"standard met, not exceeded (level 3)",14.6,25.09,0.171,0.3349,1.9585
CAASPP grade 11 mathematics,all California students,2017,standard nearly met (level 2),23.68,23.58,0.3103,0.3086,0.9945
CAASPP grade 11 mathematics,all California students,2017,standard not met (level 1),55.86,29.42,1.2655,0.4168,0.3294
CAASPP grade 11 mathematics,all California students,2018,standard exceeded (level 4),6.05,22.26,0.0644,0.2863,4.4457
CAASPP grade 11 mathematics,all California students,2018,standard met or exceeded (levels 3-4),20.27,46.56,0.2542,0.8713,3.4276
CAASPP grade 11 mathematics,all California students,2018,"standard met, not exceeded (level 3)",14.23,24.3,0.1659,0.321,1.9349
CAASPP grade 11 mathematics,all California students,2018,standard nearly met (level 2),22.76,22.96,0.2947,0.298,1.0112
CAASPP grade 11 mathematics,all California students,2018,standard not met (level 1),56.97,30.48,1.324,0.4384,0.3311
CAASPP grade 11 mathematics,all California students,2019,standard exceeded (level 4),6.56,23.67,0.0702,0.3101,4.4174
CAASPP grade 11 mathematics,all California students,2019,standard met or exceeded (levels 3-4),20.93,47.47,0.2647,0.9037,3.4141
CAASPP grade 11 mathematics,all California students,2019,"standard met, not exceeded (level 3)",14.37,23.8,0.1678,0.3123,1.8611
CAASPP grade 11 mathematics,all California students,2019,standard nearly met (level 2),22.33,22.21,0.2875,0.2855,0.993
CAASPP grade 11 mathematics,all California students,2019,standard not met (level 1),56.74,30.32,1.3116,0.4351,0.3317
CAASPP grade 11 mathematics,all California students,2021,standard exceeded (level 4),7.57,26.15,0.0819,0.3541,4.3236
CAASPP grade 11 mathematics,all California students,2021,standard met or exceeded (levels 3-4),23.23,49.26,0.3026,0.9708,3.2082
CAASPP grade 11 mathematics,all California students,2021,"standard met, not exceeded (level 3)",15.67,23.11,0.1858,0.3006,1.6179
CAASPP grade 11 mathematics,all California students,2021,standard nearly met (level 2),25.61,23.16,0.3443,0.3014,0.8754
CAASPP grade 11 mathematics,all California students,2021,standard not met (level 1),51.16,27.58,1.0475,0.3808,0.3635
