report_year,table_title,subject,group,students,year,grade,mean_scale_score,sd_scale_score,pct_level1_not_met,pct_level2_nearly_met,pct_level3_met,pct_level4_exceeded,pct_met_or_exceeded
2019,"Table 10.C.9 Summary Statistics and Percentage of Achievement Level for Selected Groups Across 2018–2019 and 2017–2018, Longitudinal Comparison: 2018–2019 ELA Grade Four and 2017–2018 ELA Grade Three",ela,All Students,418540.0,2019,4,2468.0,98.0,31.0,19.0,23.0,27.0,50.0
2019,"Table 10.C.9 Summary Statistics and Percentage of Achievement Level for Selected Groups Across 2018–2019 and 2017–2018, Longitudinal Comparison: 2018–2019 ELA Grade Four and 2017–2018 ELA Grade Three",ela,All Students,418540.0,2018,3,2425.0,92.0,28.0,24.0,22.0,26.0,48.0
2019,"Table 10.C.9 Summary Statistics and Percentage of Achievement Level for Selected Groups Across 2018–2019 and 2017–2018, Longitudinal Comparison: 2018–2019 ELA Grade Four and 2017–2018 ELA Grade Three",ela,Male,214075.0,2019,4,2459.0,99.0,34.0,19.0,22.0,25.0,47.0
2019,"Table 10.C.9 Summary Statistics and Percentage of Achievement Level for Selected Groups Across 2018–2019 and 2017–2018, Longitudinal Comparison: 2018–2019 ELA Grade Four and 2017–2018 ELA Grade Three",ela,Male,214075.0,2018,3,2416.0,93.0,32.0,24.0,21.0,23.0,45.0
2019,"Table 10.C.9 Summary Statistics and Percentage of Achievement Level for Selected Groups Across 2018–2019 and 2017–2018, Longitudinal Comparison: 2018–2019 ELA Grade Four and 2017–2018 ELA Grade Three",ela,Female,204465.0,2019,4,2476.0,96.0,27.0,20.0,24.0,30.0,53.0
2019,"Table 10.C.9 Summary Statistics and Percentage of Achievement Level for Selected Groups Across 2018–2019 and 2017–2018, Longitudinal Comparison: 2018–2019 ELA Grade Four and 2017–2018 ELA Grade Three",ela,Female,204465.0,2018,3,2434.0,90.0,24.0,24.0,23.0,29.0,52.0
2019,"Table 10.C.9 Summary Statistics and Percentage of Achievement Level for Selected Groups Across 2018–2019 and 2017–2018, Longitudinal Comparison: 2018–2019 ELA Grade Four and 2017–2018 ELA Grade Three",ela,American Indian or Alaska Native,1916.0,2019,4,2438.0,94.0,42.0,21.0,21.0,16.0,37.0
2019,"Table 10.C.9 Summary Statistics and Percentage of Achievement Level for Selected Groups Across 2018–2019 and 2017–2018, Longitudinal Comparison: 2018–2019 ELA Grade Four and 2017–2018 ELA Grade Three",ela,American Indian or Alaska Native,1916.0,2018,3,2398.0,87.0,38.0,26.0,20.0,16.0,36.0
2019,"Table 10.C.9 Summary Statistics and Percentage of Achievement Level for Selected Groups Across 2018–2019 and 2017–2018, Longitudinal Comparison: 2018–2019 ELA Grade Four and 2017–2018 ELA Grade Three",ela,Asian,37694.0,2019,4,2531.0,91.0,12.0,12.0,22.0,54.0,76.0
2019,"Table 10.C.9 Summary Statistics and Percentage of Achievement Level for Selected Groups Across 2018–2019 and 2017–2018, Longitudinal Comparison: 2018–2019 ELA Grade Four and 2017–2018 ELA Grade Three",ela,Asian,37694.0,2018,3,2481.0,88.0,12.0,15.0,23.0,51.0,74.0
