year,subject,grade,percentile,scale_score
2015,ela,3,1,2222
2015,ela,3,10,2290
2015,ela,3,20,2324
2015,ela,3,30,2351
2015,ela,3,40,2376
2015,ela,3,50,2400
2015,ela,3,60,2425
2015,ela,3,70,2451
2015,ela,3,80,2481
2015,ela,3,90,2520
2015,ela,3,99,2603
2016,ela,3,1,2228
2016,ela,3,10,2297
2016,ela,3,20,2332
2016,ela,3,30,2360
2016,ela,3,40,2387
2016,ela,3,50,2412
2016,ela,3,60,2438
2016,ela,3,70,2465
2016,ela,3,80,2496
2016,ela,3,90,2536
2016,ela,3,99,2619
2017,ela,3,1,2224
2017,ela,3,10,2293
2017,ela,3,20,2330
2017,ela,3,30,2360
2017,ela,3,40,2388
2017,ela,3,50,2415
2017,ela,3,60,2442
2017,ela,3,70,2468
2017,ela,3,80,2499
2017,ela,3,90,2537
2017,ela,3,99,2620
2018,ela,3,1,2226
2018,ela,3,10,2298
2018,ela,3,20,2339
2018,ela,3,30,2372
2018,ela,3,40,2401
2018,ela,3,50,2427
2018,ela,3,60,2452
2018,ela,3,70,2479
2018,ela,3,80,2508
2018,ela,3,90,2544
2018,ela,3,99,2622
2019,ela,3,1,2226
2019,ela,3,10,2300
2019,ela,3,20,2340
2019,ela,3,30,2372
2019,ela,3,40,2401
2019,ela,3,50,2428
2019,ela,3,60,2453
2019,ela,3,70,2479
2019,ela,3,80,2509
2019,ela,3,90,2547
2019,ela,3,99,2623
2022,ela,3,1,2177
2022,ela,3,10,2275
2022,ela,3,20,2317
2022,ela,3,30,2350
2022,ela,3,40,2381
2022,ela,3,50,2410
2022,ela,3,60,2438
2022,ela,3,70,2467
2022,ela,3,80,2499
2022,ela,3,90,2543
2022,ela,3,99,2642
2023,ela,3,1,2174
2023,ela,3,10,2274
2023,ela,3,20,2317
2023,ela,3,30,2352
2023,ela,3,40,2383
2023,ela,3,50,2412
2023,ela,3,60,2440
2023,ela,3,70,2469
2023,ela,3,80,2501
2023,ela,3,90,2544
2023,ela,3,99,2643
2024,ela,3,1,2175
2024,ela,3,10,2275
2024,ela,3,20,2318
2024,ela,3,30,2352
2024,ela,3,40,2383
2024,ela,3,50,2411
2024,ela,3,60,2439
2024,ela,3,70,2468
2024,ela,3,80,2501
2024,ela,3,90,2544
2024,ela,3,99,2646
2025,ela,3,1,2183
2025,ela,3,10,2281
2025,ela,3,20,2324
2025,ela,3,30,2358
2025,ela,3,40,2388
2025,ela,3,50,2416
2025,ela,3,60,2443
2025,ela,3,70,2471
2025,ela,3,80,2503
2025,ela,3,90,2546
2025,ela,3,99,2650
2015,ela,4,1,2251
2015,ela,4,10,2324
2015,ela,4,20,2360
2015,ela,4,30,2390
2015,ela,4,40,2418
2015,ela,4,50,2445
2015,ela,4,60,2471
2015,ela,4,70,2499
2015,ela,4,80,2529
2015,ela,4,90,2569
2015,ela,4,99,2657
2016,ela,4,1,2251
2016,ela,4,10,2327
2016,ela,4,20,2366
2016,ela,4,30,2398
2016,ela,4,40,2428
2016,ela,4,50,2456
2016,ela,4,60,2483
2016,ela,4,70,2510
2016,ela,4,80,2541
2016,ela,4,90,2581
2016,ela,4,99,2663
2017,ela,4,1,2245
2017,ela,4,10,2326
2017,ela,4,20,2367
2017,ela,4,30,2401
2017,ela,4,40,2431
2017,ela,4,50,2459
2017,ela,4,60,2486
2017,ela,4,70,2512
2017,ela,4,80,2542
2017,ela,4,90,2582
2017,ela,4,99,2663
2018,ela,4,1,2243
2018,ela,4,10,2329
2018,ela,4,20,2373
2018,ela,4,30,2409
2018,ela,4,40,2440
2018,ela,4,50,2469
2018,ela,4,60,2495
2018,ela,4,70,2522
2018,ela,4,80,2552
2018,ela,4,90,2592
2018,ela,4,99,2663
2019,ela,4,1,2247
2019,ela,4,10,2332
2019,ela,4,20,2377
2019,ela,4,30,2412
2019,ela,4,40,2443
2019,ela,4,50,2471
2019,ela,4,60,2497
2019,ela,4,70,2524
2019,ela,4,80,2554
2019,ela,4,90,2595
2019,ela,4,99,2663
2022,ela,4,1,2209
2022,ela,4,10,2317
2022,ela,4,20,2363
2022,ela,4,30,2398
2022,ela,4,40,2429
2022,ela,4,50,2457
2022,ela,4,60,2484
2022,ela,4,70,2512
2022,ela,4,80,2544
2022,ela,4,90,2588
2022,ela,4,99,2690
2023,ela,4,1,2206
2023,ela,4,10,2312
2023,ela,4,20,2357
2023,ela,4,30,2393
2023,ela,4,40,2425
2023,ela,4,50,2454
2023,ela,4,60,2483
2023,ela,4,70,2513
2023,ela,4,80,2547
