subject,grade,year,school_group,weighting,school_set,schools,tested,mean_scale_score,pct_level4_exceeded,pct_level3_met,pct_met_or_exceeded,pct_level2_nearly_met,pct_level1_not_met
ela,11,2015,LCFF+,schools,all_schools_reporting,848,146442,2525.04,8.0,22.55,30.54,28.21,41.26
ela,11,2016,LCFF+,schools,all_schools_reporting,867,146652,2534.87,10.14,24.32,34.46,27.6,37.95
ela,11,2017,LCFF+,schools,all_schools_reporting,870,147933,2533.51,11.2,23.68,34.89,26.3,38.82
ela,11,2018,LCFF+,schools,all_schools_reporting,872,147671,2525.81,10.59,22.17,32.76,25.23,42.01
ela,11,2019,LCFF+,schools,all_schools_reporting,893,148058,2529.75,11.47,22.42,33.9,24.88,41.23
ela,11,2021,LCFF+,schools,all_schools_reporting,540,73639,2544.71,13.76,24.74,38.5,26.83,34.66
ela,11,2022,LCFF+,schools,all_schools_reporting,862,143417,2525.24,11.06,22.23,33.29,25.34,41.37
ela,11,2023,LCFF+,schools,all_schools_reporting,875,147434,2526.61,11.5,22.48,33.98,24.92,41.1
ela,11,2024,LCFF+,schools,all_schools_reporting,858,143567,2528.52,12.3,22.57,34.87,24.33,40.8
ela,11,2025,LCFF+,schools,all_schools_reporting,862,141849,2531.52,13.03,22.89,35.91,24.29,39.79
ela,11,2015,Not LCFF+,schools,all_schools_reporting,1138,281010,2594.16,23.59,32.9,56.45,24.09,19.48
ela,11,2016,Not LCFF+,schools,all_schools_reporting,1187,288889,2598.29,25.36,32.63,57.99,22.66,19.36
ela,11,2017,Not LCFF+,schools,all_schools_reporting,1189,294144,2603.38,27.76,31.83,59.59,21.92,18.49
ela,11,2018,Not LCFF+,schools,all_schools_reporting,1203,289850,2591.23,25.41,29.75,55.16,22.59,22.25
ela,11,2019,Not LCFF+,schools,all_schools_reporting,1225,289929,2596.57,26.89,30.16,57.05,21.66,21.29
ela,11,2021,Not LCFF+,schools,all_schools_reporting,755,133178,2609.81,30.25,30.25,60.5,21.16,18.34
ela,11,2022,Not LCFF+,schools,all_schools_reporting,1230,280223,2592.78,25.91,29.85,55.75,21.89,22.35
ela,11,2023,Not LCFF+,schools,all_schools_reporting,1236,288545,2592.57,26.18,29.69,55.87,21.58,22.55
ela,11,2024,Not LCFF+,schools,all_schools_reporting,1224,283316,2590.51,25.91,29.44,55.35,21.53,23.12
ela,11,2025,Not LCFF+,schools,all_schools_reporting,1223,281792,2593.37,26.94,29.19,56.13,21.14,22.73
ela,11,2015,LCFF+,students,all_schools_reporting,848,146442,2551.94,11.26,29.44,40.71,29.17,30.14
ela,11,2016,LCFF+,students,all_schools_reporting,867,146652,2560.81,14.06,30.41,44.48,27.31,28.21
ela,11,2017,LCFF+,students,all_schools_reporting,870,147933,2560.72,15.37,29.56,44.94,26.12,28.94
ela,11,2018,LCFF+,students,all_schools_reporting,872,147671,2553.08,14.47,27.78,42.24,25.96,31.79
ela,11,2019,LCFF+,students,all_schools_reporting,893,148058,2555.67,15.38,27.74,43.13,25.23,31.64
ela,11,2021,LCFF+,students,all_schools_reporting,540,73639,2568.36,17.97,29.04,47.01,25.91,27.08
ela,11,2022,LCFF+,students,all_schools_reporting,862,143417,2546.81,14.34,26.21,40.55,25.46,33.99
ela,11,2023,LCFF+,students,all_schools_reporting,875,147434,2548.52,14.82,26.61,41.43,24.97,33.61
ela,11,2024,LCFF+,students,all_schools_reporting,858,143567,2551.64,15.92,27.01,42.93,24.2,32.87
ela,11,2025,LCFF+,students,all_schools_reporting,862,141849,2556.67,16.99,27.67,44.66,23.97,31.37
ela,11,2015,Not LCFF+,students,all_schools_reporting,1138,281010,2611.95,28.35,35.1,63.43,21.92,14.64
ela,11,2016,Not LCFF+,students,all_schools_reporting,1187,288889,2619.67,31.4,34.93,66.32,20.03,13.63
ela,11,2017,Not LCFF+,students,all_schools_reporting,1189,294144,2624.11,34.01,33.42,67.42,18.95,13.63
ela,11,2018,Not LCFF+,students,all_schools_reporting,1203,289850,2613.22,31.38,31.8,63.18,20.27,16.55
ela,11,2019,Not LCFF+,students,all_schools_reporting,1225,289929,2618.08,33.16,31.52,64.69,19.44,15.88
ela,11,2021,Not LCFF+,students,all_schools_reporting,755,133178,2626.15,35.09,30.99,66.08,18.93,14.99
