cds_code,school,district,county,zip,school_type,year,subject,grade,economic_status,enrolled,tested,mean_scale_score,pct_level4_exceeded,pct_level3_met,pct_met_or_exceeded,pct_level2_nearly_met,pct_level1_not_met
01100170109835,Fame Public Charter,Fame Public Charter,Alameda,94560,direct-funded charter,2015,ela,11,All students,72,57,2537.3,4.0,25.0,29.0,34.0,38.0
01100170109835,Fame Public Charter,Fame Public Charter,Alameda,94560,direct-funded charter,2015,ela,11,Economically disadvantaged,72,43,2528.8,2.0,23.0,26.0,35.0,40.0
01100170109835,Fame Public Charter,Fame Public Charter,Alameda,94560,direct-funded charter,2015,ela,11,Not economically disadvantaged,72,14,2565.2,8.0,31.0,38.0,31.0,31.0
01100170109835,Fame Public Charter,Fame Public Charter,Alameda,94560,direct-funded charter,2015,math,11,All students,72,57,2476.1,2.0,4.0,5.0,16.0,78.0
01100170109835,Fame Public Charter,Fame Public Charter,Alameda,94560,direct-funded charter,2015,math,11,Economically disadvantaged,72,43,2462.7,0.0,5.0,5.0,14.0,81.0
01100170109835,Fame Public Charter,Fame Public Charter,Alameda,94560,direct-funded charter,2015,math,11,Not economically disadvantaged,72,14,2519.6,8.0,0.0,8.0,23.0,69.0
01100170112607,Envision Academy For Arts & Technology,Envision Academy For Arts & Technology,Alameda,94612,direct-funded charter,2015,ela,11,All students,91,82,2543.4,6.0,32.0,38.0,30.0,32.0
01100170112607,Envision Academy For Arts & Technology,Envision Academy For Arts & Technology,Alameda,94612,direct-funded charter,2015,ela,11,Economically disadvantaged,91,64,2537.4,8.0,28.0,36.0,28.0,36.0
01100170112607,Envision Academy For Arts & Technology,Envision Academy For Arts & Technology,Alameda,94612,direct-funded charter,2015,ela,11,Not economically disadvantaged,91,18,2565.0,0.0,44.0,44.0,39.0,17.0
01100170112607,Envision Academy For Arts & Technology,Envision Academy For Arts & Technology,Alameda,94612,direct-funded charter,2016,ela,11,All students,91,88,2566.0,14.0,30.0,43.0,32.0,25.0
01100170112607,Envision Academy For Arts & Technology,Envision Academy For Arts & Technology,Alameda,94612,direct-funded charter,2016,ela,11,Economically disadvantaged,66,63,2564.5,11.0,32.0,43.0,33.0,24.0
01100170112607,Envision Academy For Arts & Technology,Envision Academy For Arts & Technology,Alameda,94612,direct-funded charter,2016,ela,11,Not economically disadvantaged,25,25,2569.6,20.0,24.0,44.0,28.0,28.0
01100170112607,Envision Academy For Arts & Technology,Envision Academy For Arts & Technology,Alameda,94612,direct-funded charter,2017,ela,11,All students,93,91,2579.3,21.98,20.88,42.86,35.16,21.98
01100170112607,Envision Academy For Arts & Technology,Envision Academy For Arts & Technology,Alameda,94612,direct-funded charter,2017,ela,11,Economically disadvantaged,71,70,2565.6,14.29,21.43,35.71,41.43,22.86
01100170112607,Envision Academy For Arts & Technology,Envision Academy For Arts & Technology,Alameda,94612,direct-funded charter,2017,ela,11,Not economically disadvantaged,22,21,2625.0,47.62,19.05,66.67,14.29,19.05
01100170112607,Envision Academy For Arts & Technology,Envision Academy For Arts & Technology,Alameda,94612,direct-funded charter,2018,ela,11,All students,98,96,2577.2,14.58,31.25,45.83,33.33,20.83
01100170112607,Envision Academy For Arts & Technology,Envision Academy For Arts & Technology,Alameda,94612,direct-funded charter,2018,ela,11,Economically disadvantaged,79,77,2577.5,12.99,33.77,46.75,29.87,23.38
01100170112607,Envision Academy For Arts & Technology,Envision Academy For Arts & Technology,Alameda,94612,direct-funded charter,2018,ela,11,Not economically disadvantaged,19,19,2576.1,21.05,21.05,42.11,47.37,10.53
01100170112607,Envision Academy for Arts & Technology,Envision Academy for Arts & Technology,Alameda,94612,direct-funded charter,2019,ela,11,All students,90,85,2541.2,7.14,27.38,34.52,36.9,28.57
01100170112607,Envision Academy for Arts & Technology,Envision Academy for Arts & Technology,Alameda,94612,direct-funded charter,2019,ela,11,Economically disadvantaged,69,68,2539.8,7.46,26.87,34.33,37.31,28.36
01100170112607,Envision Academy for Arts & Technology,Envision Academy for Arts & Technology,Alameda,94612,direct-funded charter,2019,ela,11,Not economically disadvantaged,21,17,2547.0,5.88,29.41,35.29,35.29,29.41
01100170112607,Envision Academy for Arts & Technology,Envision Academy for Arts & Technology,Alameda,94612,direct-funded charter,2021,ela,11,All students,94,62,2579.7,13.11,39.34,52.46,27.87,19.67
01100170112607,Envision Academy for Arts & Technology,Envision Academy for Arts & Technology,Alameda,94612,direct-funded charter,2021,ela,11,Economically disadvantaged,75,50,2578.6,16.33,32.65,48.98,26.53,24.49
01100170112607,Envision Academy for Arts & Technology,Envision Academy for Arts & Technology,Alameda,94612,direct-funded charter,2021,ela,11,Not economically disadvantaged,19,12,2583.9,0.0,66.67,66.67,33.33,0.0
01100170112607,Envision Academy for Arts & Technology,Envision Academy for Arts & Technology,Alameda,94612,direct-funded charter,2022,ela,11,All students,83,77,2565.1,19.48,27.27,46.75,19.48,33.77
01100170112607,Envision Academy for Arts & Technology,Envision Academy for Arts & Technology,Alameda,94612,direct-funded charter,2022,ela,11,Economically disadvantaged,64,59,2571.1,16.95,32.2,49.15,18.64,32.2
01100170112607,Envision Academy for Arts & Technology,Envision Academy for Arts & Technology,Alameda,94612,direct-funded charter,2022,ela,11,Not economically disadvantaged,19,18,2545.2,27.78,11.11,38.89,22.22,38.89
01100170112607,Envision Academy for Arts & Technology,Envision Academy for Arts & Technology,Alameda,94612,direct-funded charter,2023,ela,11,All students,47,45,2560.3,28.89,22.22,51.11,11.11,37.78
