cds_code,upp_pre2020_mean,years_of_upp_pre2020,lcff_plus_fixed
01100170112607,77.2,4,LCFF+
01100170130401,100.0,4,LCFF+
01100170130419,86.0,4,LCFF+
01100170136101,40.65,3,Not LCFF+
01100170136226,57.97,3,Not LCFF+
01611190000001,30.78,3,Not LCFF+
01611190106401,30.36,4,Not LCFF+
01611190119222,49.85,4,Not LCFF+
01611190130229,24.7,4,Not LCFF+
01611190130609,33.8,4,Not LCFF+
01611190130625,97.31,4,LCFF+
01611190132142,45.51,4,Not LCFF+
01611190134304,54.09,4,Not LCFF+
01611270000001,28.1,3,Not LCFF+
01611270130294,53.27,4,Not LCFF+
01611270130450,22.15,4,Not LCFF+
01611430000001,29.47,3,Not LCFF+
01611430122697,74.4,2,Not LCFF+
01611430131177,29.12,4,Not LCFF+
01611430134924,74.72,4,Not LCFF+
01611430138552,71.63,1,Not LCFF+
01611500000001,22.87,3,Not LCFF+
01611500130047,34.22,2,Not LCFF+
01611500132225,23.44,4,Not LCFF+
01611500133876,13.54,4,Not LCFF+
01611500135533,45.48,4,Not LCFF+
01611680132746,75.91,4,LCFF+
01611760000001,18.79,3,Not LCFF+
01611760127233,53.62,3,Not LCFF+
01611760130062,21.36,4,Not LCFF+
01611760130138,58.32,4,Not LCFF+
01611760130435,35.06,4,Not LCFF+
01611760130534,37.09,4,Not LCFF+
01611760134270,18.16,4,Not LCFF+
01611760134452,44.68,4,Not LCFF+
01611760135244,7.96,4,Not LCFF+
01611760138693,30.8,4,Not LCFF+
01611920000001,31.58,3,Not LCFF+
01611920108670,62.19,4,Not LCFF+
01611920113902,63.6,2,Not LCFF+
01611920127944,57.92,4,Not LCFF+
01611920133009,76.25,4,LCFF+
01611920133629,69.8,4,Not LCFF+
01611920135319,66.53,4,Not LCFF+
01611920137646,65.06,2,Not LCFF+
01611920138339,82.49,4,LCFF+
01612000000001,27.08,3,Not LCFF+
01612000120931,19.22,1,Not LCFF+
01612000130393,26.22,4,Not LCFF+
01612000132670,60.62,4,Not LCFF+
01612000133397,20.41,4,Not LCFF+
01612000134536,25.3,4,Not LCFF+
01612340000001,50.0,2,Not LCFF+
01612340130054,47.61,4,Not LCFF+
01612340130484,58.5,4,Not LCFF+
01612340135426,70.45,4,Not LCFF+
01612420000001,59.56,3,Not LCFF+
01612420110460,60.78,4,Not LCFF+
01612420110478,79.66,4,LCFF+
01612420126763,55.89,4,Not LCFF+
01612420134668,49.44,4,Not LCFF+
01612426001622,100.0,2,LCFF+
01612590000001,39.47,3,Not LCFF+
01612590100065,87.32,4,LCFF+
01612590100701,79.46,4,LCFF+
01612590106542,88.88,4,LCFF+
01612590106906,74.01,4,Not LCFF+
01612590108944,83.13,4,LCFF+
01612590110189,88.74,4,LCFF+
01612590111856,70.95,4,Not LCFF+
01612590112797,95.07,4,LCFF+
01612590114868,76.78,4,LCFF+
01612590115238,84.62,4,LCFF+
01612590115386,96.28,4,LCFF+
01612590115667,99.54,4,LCFF+
01612590118224,91.59,4,LCFF+
01612590118653,86.89,4,LCFF+
01612590119859,54.16,4,Not LCFF+
01612590121228,33.35,3,Not LCFF+
01612590121376,88.54,4,LCFF+
01612590125161,94.06,4,LCFF+
01612590125716,95.52,4,LCFF+
01612590126748,95.93,4,LCFF+
01612590129932,33.93,4,Not LCFF+
01612590130146,88.1,4,LCFF+
01612590130179,88.37,4,LCFF+
01612590130575,92.59,4,LCFF+
01612590130617,75.8,4,LCFF+
01612590130666,90.75,4,LCFF+
01612590132555,53.54,4,Not LCFF+
01612590132688,88.95,4,LCFF+
01612590135905,89.34,4,LCFF+
01612590136051,48.73,4,Not LCFF+
01612590137943,74.76,4,Not LCFF+
01612593030772,12.03,4,Not LCFF+
01612596056998,100.0,4,LCFF+
01612596066450,95.24,4,LCFF+
01612596114011,74.28,4,Not LCFF+
01612750000001,13.65,3,Not LCFF+
01612750130286,16.01,4,Not LCFF+
01612750136515,1.63,4,Not LCFF+
