year,subject,grade,group_code,group_name,group_category,enrolled,tested,mean_scale_score,pct_level4_exceeded,pct_level3_met,pct_met_or_exceeded,pct_level2_nearly_met,pct_level1_not_met
2015,ela,3,1,All Students,All Students,488520,475228,2402.9,18.0,20.0,38.0,26.0,36.0
2015,ela,3,3,Male,Gender,488520,242970,2393.4,15.0,18.0,34.0,26.0,41.0
2015,ela,3,4,Female,Gender,488520,232258,2412.9,20.0,21.0,42.0,27.0,31.0
2015,ela,3,6,"IFEP, RFEP, and EO (Fluent English proficient and English only)",English-Language Fluency,488520,321896,2422.6,24.0,24.0,47.0,26.0,27.0
2015,ela,3,7,IFEP (Initial fluent English proficient),English-Language Fluency,488520,18192,2465.7,42.0,25.0,67.0,20.0,13.0
2015,ela,3,8,RFEP (Reclassified fluent English proficient),English-Language Fluency,488520,31146,2446.6,26.0,33.0,59.0,30.0,11.0
2015,ela,3,28,Migrant education,Migrant,488520,4673,2351.7,4.0,11.0,14.0,26.0,60.0
2015,ela,3,31,Socioeconomically disadvantaged,Economic Status,488520,296138,2375.9,8.0,16.0,24.0,29.0,47.0
2015,ela,3,74,Black or African American,Race and Ethnicity,488520,26688,2369.5,8.0,15.0,23.0,25.0,52.0
2015,ela,3,75,American Indian or Alaska Native,Race and Ethnicity,488520,2571,2378.6,10.0,18.0,27.0,26.0,47.0
2015,ela,3,76,Asian,Race and Ethnicity,488520,40935,2460.2,40.0,25.0,65.0,20.0,16.0
2015,ela,3,77,Filipino,Race and Ethnicity,488520,10799,2446.2,31.0,28.0,59.0,24.0,16.0
2015,ela,3,78,Hispanic or Latino,Race and Ethnicity,488520,262896,2378.8,9.0,17.0,25.0,29.0,46.0
2015,ela,3,79,Native Hawaiian or Pacific Islander,Race and Ethnicity,488520,2232,2395.4,12.0,21.0,33.0,30.0,37.0
2015,ela,3,80,White,Race and Ethnicity,488520,110663,2438.6,30.0,26.0,55.0,24.0,21.0
2015,ela,3,90,Not a high school graduate,Parent Education,488520,73248,2358.3,5.0,12.0,17.0,27.0,57.0
2015,ela,3,91,High school graduate,Parent Education,488520,99259,2376.5,8.0,16.0,24.0,29.0,47.0
2015,ela,3,92,Some college (includes AA degree),Parent Education,488520,98911,2401.0,14.0,22.0,36.0,30.0,34.0
2015,ela,3,93,College graduate,Parent Education,488520,84707,2437.7,28.0,26.0,55.0,25.0,20.0
2015,ela,3,94,Graduate school/Post graduate,Parent Education,488520,61213,2468.0,44.0,25.0,69.0,18.0,13.0
2015,ela,3,99,No reported disabilities,Disability Status,488520,429835,2409.6,19.0,21.0,40.0,27.0,33.0
2015,ela,3,111,Not socioeconomically disadvantaged,Economic Status,488520,179090,2447.5,33.0,26.0,59.0,23.0,18.0
2015,ela,3,120,ELs enrolled less than 12 months,English-Language Fluency,488520,2052,2338.2,5.0,9.0,14.0,21.0,65.0
2015,ela,3,121,Declined to state,Parent Education,488520,57605,2388.1,13.0,17.0,31.0,26.0,43.0
2015,ela,3,128,Reported disabilities,Disability Status,488520,45393,2339.6,6.0,9.0,15.0,18.0,68.0
2015,ela,3,142,ELs enrolled 12 months or more,English-Language Fluency,488520,149448,2361.7,5.0,12.0,17.0,28.0,55.0
2015,ela,3,144,Two or more races,Race and Ethnicity,488520,15534,2438.2,30.0,24.0,55.0,24.0,22.0
2015,ela,3,160,"EL (English learner, excluding RFEP)",English-Language Fluency,488520,151983,2361.4,5.0,12.0,17.0,28.0,55.0
2015,ela,3,180,EO (English only),English-Language Fluency,488520,272558,2416.9,22.0,22.0,45.0,26.0,30.0
2015,ela,3,200,Black or African American,Ethnicity for Socioeconomically Disadvantaged,488520,20191,2359.1,6.0,13.0,18.0,25.0,57.0
2015,ela,3,201,American Indian or Alaska Native,Ethnicity for Socioeconomically Disadvantaged,488520,1778,2363.1,5.0,15.0,20.0,26.0,54.0
2015,ela,3,202,Asian,Ethnicity for Socioeconomically Disadvantaged,488520,14431,2417.1,20.0,24.0,45.0,27.0,28.0
2015,ela,3,203,Filipino,Ethnicity for Socioeconomically Disadvantaged,488520,3805,2425.0,22.0,26.0,47.0,30.0,23.0
2015,ela,3,204,Hispanic or Latino,Ethnicity for Socioeconomically Disadvantaged,488520,214127,2370.4,6.0,15.0,21.0,29.0,50.0
2015,ela,3,205,Native Hawaiian or Pacific Islander,Ethnicity for Socioeconomically Disadvantaged,488520,1484,2380.0,7.0,18.0,25.0,31.0,44.0
2015,ela,3,206,White,Ethnicity for Socioeconomically Disadvantaged,488520,33042,2395.7,13.0,21.0,34.0,29.0,37.0
