year,subject,grade,economic_status,ethnicity,tested,mean_scale_score,sd_scale_score,pct_met_or_exceeded,source_workbook
2015,ela,3,Economically disadvantaged,All,294708,2375.9,77.9,24.27,elaecondisall2015.xlsx
2015,ela,3,Not economically disadvantaged,All,178310,2447.5,84.0,59.5,elaecondisall2015.xlsx
2015,ela,3,Economically disadvantaged,American Indian or Alaska Native,1756,2363.1,76.0,20.22,elaecondiseth2015.xlsx
2015,ela,3,Not economically disadvantaged,American Indian or Alaska Native,790,2413.1,83.1,42.91,elaecondiseth2015.xlsx
2015,ela,3,Economically disadvantaged,Asian,14370,2417.1,83.1,44.57,elaecondiseth2015.xlsx
2015,ela,3,Not economically disadvantaged,Asian,26417,2483.6,78.9,75.91,elaecondiseth2015.xlsx
2015,ela,3,Economically disadvantaged,Black or African American,19998,2359.1,76.4,18.13,elaecondiseth2015.xlsx
2015,ela,3,Not economically disadvantaged,Black or African American,6423,2402.0,84.2,38.16,elaecondiseth2015.xlsx
2015,ela,3,Economically disadvantaged,Blank,1730,2380.8,78.7,26.82,elaecondiseth2015.xlsx
2015,ela,3,Not economically disadvantaged,Blank,1166,2441.8,85.7,54.97,elaecondiseth2015.xlsx
2015,ela,3,Economically disadvantaged,Filipino,3780,2425.0,78.6,47.38,elaecondiseth2015.xlsx
2015,ela,3,Not economically disadvantaged,Filipino,6966,2457.7,77.4,65.46,elaecondiseth2015.xlsx
2015,ela,3,Economically disadvantaged,Hispanic or Latino,213320,2370.4,75.2,21.33,elaecondiseth2015.xlsx
2015,ela,3,Not economically disadvantaged,Hispanic or Latino,48535,2415.9,81.6,43.78,elaecondiseth2015.xlsx
2015,ela,3,Economically disadvantaged,Native Hawaiian or Pacific Islander,1477,2380.0,74.8,25.39,elaecondiseth2015.xlsx
2015,ela,3,Not economically disadvantaged,Native Hawaiian or Pacific Islander,744,2425.9,79.9,47.72,elaecondiseth2015.xlsx
2015,ela,3,Economically disadvantaged,Two or More Races,5492,2394.9,81.4,33.47,elaecondiseth2015.xlsx
2015,ela,3,Not economically disadvantaged,Two or More Races,9973,2462.0,81.1,66.45,elaecondiseth2015.xlsx
2015,ela,3,Economically disadvantaged,White,32785,2395.7,81.3,34.08,elaecondiseth2015.xlsx
2015,ela,3,Not economically disadvantaged,White,77296,2456.8,79.8,64.45,elaecondiseth2015.xlsx
2016,ela,3,Economically disadvantaged,All,291475,2387.0,81.0,29.0,elaecondisall2016.xlsx
2016,ela,3,Not economically disadvantaged,All,166097,2462.0,85.0,66.0,elaecondisall2016.xlsx
2016,ela,3,Economically disadvantaged,American Indian or Alaska Native,1649,2374.0,79.0,24.0,elaecondiseth2016.xlsx
2016,ela,3,Not economically disadvantaged,American Indian or Alaska Native,703,2428.0,85.0,51.0,elaecondiseth2016.xlsx
2016,ela,3,Economically disadvantaged,Asian,14196,2429.0,87.0,50.0,elaecondiseth2016.xlsx
2016,ela,3,Not economically disadvantaged,Asian,25927,2495.0,79.0,80.0,elaecondiseth2016.xlsx
2016,ela,3,Economically disadvantaged,Black or African American,19899,2368.0,79.0,22.0,elaecondiseth2016.xlsx
2016,ela,3,Not economically disadvantaged,Black or African American,5420,2420.0,87.0,46.0,elaecondiseth2016.xlsx
2016,ela,3,Economically disadvantaged,Blank,1575,2379.0,81.0,27.0,elaecondiseth2016.xlsx
2016,ela,3,Not economically disadvantaged,Blank,1368,2446.0,89.0,59.0,elaecondiseth2016.xlsx
2016,ela,3,Economically disadvantaged,Filipino,3407,2437.0,81.0,53.0,elaecondiseth2016.xlsx
2016,ela,3,Not economically disadvantaged,Filipino,6172,2471.0,79.0,70.0,elaecondiseth2016.xlsx
2016,ela,3,Economically disadvantaged,Hispanic or Latino,209977,2381.0,79.0,26.0,elaecondiseth2016.xlsx
2016,ela,3,Not economically disadvantaged,Hispanic or Latino,43217,2433.0,83.0,52.0,elaecondiseth2016.xlsx
2016,ela,3,Economically disadvantaged,Native Hawaiian or Pacific Islander,1542,2388.0,79.0,29.0,elaecondiseth2016.xlsx
2016,ela,3,Not economically disadvantaged,Native Hawaiian or Pacific Islander,622,2434.0,86.0,52.0,elaecondiseth2016.xlsx
2016,ela,3,Economically disadvantaged,Two or More Races,6148,2406.0,86.0,39.0,elaecondiseth2016.xlsx
2016,ela,3,Not economically disadvantaged,Two or More Races,10124,2476.0,82.0,72.0,elaecondiseth2016.xlsx
2016,ela,3,Economically disadvantaged,White,33082,2407.0,84.0,39.0,elaecondiseth2016.xlsx
2016,ela,3,Not economically disadvantaged,White,72544,2469.0,81.0,69.0,elaecondiseth2016.xlsx
2017,ela,3,Economically disadvantaged,All,280619,2388.0,84.0,31.0,elaecondisall2017.xlsx
2017,ela,3,Not economically disadvantaged,All,171604,2459.0,87.0,65.0,elaecondisall2017.xlsx
2017,ela,3,Economically disadvantaged,American Indian or Alaska Native,1540,2374.0,83.0,26.0,elaecondiseth2017.xlsx
2017,ela,3,Not economically disadvantaged,American Indian or Alaska Native,690,2421.0,90.0,49.0,elaecondiseth2017.xlsx
2017,ela,3,Economically disadvantaged,Asian,13950,2432.0,90.0,52.0,elaecondiseth2017.xlsx
2017,ela,3,Not economically disadvantaged,Asian,26741,2494.0,80.0,80.0,elaecondiseth2017.xlsx
2017,ela,3,Economically disadvantaged,Black or African American,19012,2367.0,82.0,23.0,elaecondiseth2017.xlsx
2017,ela,3,Not economically disadvantaged,Black or African American,5435,2419.0,89.0,46.0,elaecondiseth2017.xlsx
2017,ela,3,Economically disadvantaged,Blank,1843,2382.0,86.0,30.0,elaecondiseth2017.xlsx
2017,ela,3,Not economically disadvantaged,Blank,1590,2445.0,90.0,58.0,elaecondiseth2017.xlsx
2017,ela,3,Economically disadvantaged,Filipino,3145,2437.0,83.0,54.0,elaecondiseth2017.xlsx
2017,ela,3,Not economically disadvantaged,Filipino,5546,2467.0,81.0,70.0,elaecondiseth2017.xlsx
2017,ela,3,Economically disadvantaged,Hispanic or Latino,203290,2383.0,82.0,29.0,elaecondiseth2017.xlsx
2017,ela,3,Not economically disadvantaged,Hispanic or Latino,47467,2430.0,86.0,51.0,elaecondiseth2017.xlsx
2017,ela,3,Economically disadvantaged,Native Hawaiian or Pacific Islander,1390,2389.0,79.0,30.0,elaecondiseth2017.xlsx
2017,ela,3,Not economically disadvantaged,Native Hawaiian or Pacific Islander,654,2433.0,87.0,52.0,elaecondiseth2017.xlsx
2017,ela,3,Economically disadvantaged,Two or More Races,6469,2402.0,88.0,38.0,elaecondiseth2017.xlsx
